링크,제목,키워드,기관,카테고리목록
https://www.damoa.or.kr/main/cmf_video.php?no=2506,나풀나풀 꽃밭에 놀러온 나비,꽃,EBS,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=2358,진우가 카메라를 들고 꽃을 찍었답니다.,꽃,유튜브 채널 발달장애 진우의 자립생활,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=2204,"행복을 꽃피우는 사람들의 공간, '교남 어유지 동산' 이야기 (휴먼다큐 희망人)",꽃,복지TV,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=2906,바다를 건너 꽃 핀 대화 | 한중일 발달장애 미술작가 특별전 현장,꽃,"유튜브 채널 외교부 Ministry of Foreign Affairs, Korea",교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=2835,발달장애 인식개선 캠페인,,유튜브 채널 대한민국 보건복지부,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=2062,발달장애 제이와 벗꽃길을 걸어요,꽃,유튜브 채널 제이아빠,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=1404,충북음성 사과농장에 사과따기체험 하러왔어요~ [발달장애],,유튜브 채널 태환아사랑해,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=228,[다큐멘터리] 꽃보다 아름다운 꿈 (MBN 착한엄지 2편),꽃,유튜브 채널 한국자폐인사랑협회,교육/꽃; 안전/꽃; 취미/꽃; 요리/꽃; 기타/꽃; 유튜브/꽃; 생활정보/꽃; 직업/꽃; 건강/꽃; 부모교육 및 지원정책/꽃; 우리들의 이야기/꽃
https://www.damoa.or.kr/main/cmf_video.php?no=2545,발달장애인의 대중교통 이용 요령을 알아봐요.,대중교통,유튜브 채널 행정안전부,직업/대중교통; 건강/대중교통; 부모교육 및 지원정책/대중교통; 우리들의 이야기/대중교통; 취미/대중교통; 요리/대중교통; 교육/대중교통; 안전/대중교통; 기타/대중교통; 생활정보/대중교통; 유튜브/대중교통
https://www.damoa.or.kr/main/cmf_video.php?no=2530,불이 난 지하철역 안전하게 대피하기,,EBS,직업/대중교통; 건강/대중교통; 부모교육 및 지원정책/대중교통; 우리들의 이야기/대중교통; 취미/대중교통; 요리/대중교통; 교육/대중교통; 안전/대중교통; 기타/대중교통; 생활정보/대중교통; 유튜브/대중교통
https://www.damoa.or.kr/main/cmf_video.php?no=2333,진우가 엄마 아빠와 함께 제주도의 게스트 하우스를 대중교통을 이용해 다녀옵니다.,대중교통,유튜브 채널 발달장애 진우의 자립생활,직업/대중교통; 건강/대중교통; 부모교육 및 지원정책/대중교통; 우리들의 이야기/대중교통; 취미/대중교통; 요리/대중교통; 교육/대중교통; 안전/대중교통; 기타/대중교통; 생활정보/대중교통; 유튜브/대중교통
https://www.damoa.or.kr/main/cmf_video.php?no=76,멋지게 지하철 타기,,EBS,직업/대중교통; 생활정보/지하철 타기; 건강/대중교통; 유튜브/지하철 타기; 우리들의 이야기/대중교통; 요리/대중교통; 기타/교육정보; 직업/지하철 타기; 교육/대중교통; 건강/지하철 타기; 우리들의 이야기/지하철 타기; 요리/지하철 타기; 교육/지하철 타기; 부모교육 및 지원정책/교육정보; 취미/교육정보; 안전/대중교통; 유튜브/교육정보; 직업/교육정보; 건강/교육정보; 안전/지하철 타기; 유튜브/대중교통; 우리들의 이야기/교육정보; 교육/교육정보; 요리/교육정보; 기타/대중교통; 기타/지하철 타기; 부모교육 및 지원정책/대중교통; 안전/교육정보; 취미/대중교통; 부모교육 및 지원정책/지하철 타기; 생활정보/대중교통; 취미/지하철 타기
https://www.damoa.or.kr/main/cmf_video.php?no=4601,참정권 포기 할 수 없어…투표소에서 눈물 쏟은 발달장애인 / 연합뉴스 (Yonhapnews) 연합뉴스 Yonhapnews 구독자 105만명 구독,,유튜브 채널 연합뉴스 Yonhapnews,생활정보/대통령; 유튜브/대통령; 기타/투표; 직업/대통령; 건강/대통령; 우리들의 이야기/대통령; 교육/대통령; 기타/선거; 요리/대통령; 부모교육 및 지원정책/투표; 취미/투표; 부모교육 및 지원정책/선거; 유튜브/투표; 생활정보/투표; 취미/선거; 직업/투표; 유튜브/선거; 안전/대통령; 생활정보/선거; 건강/투표; 직업/선거; 우리들의 이야기/투표; 교육/투표; 건강/선거; 요리/투표; 우리들의 이야기/선거; 교육/선거; 요리/선거; 기타/대통령; 안전/투표; 안전/선거; 부모교육 및 지원정책/대통령; 취미/대통령
https://www.damoa.or.kr/main/cmf_video.php?no=4417,2024y w31 EDEN's story (발달 장애 이든이 성장 이야기) - 구로 이키즈랜드,,유튜브 채널 이든아빠,기타/대통령; 생활정보/대통령; 유튜브/대통령; 직업/대통령; 건강/대통령; 부모교육 및 지원정책/대통령; 우리들의 이야기/대통령; 교육/대통령; 취미/대통령; 요리/대통령; 안전/대통령
https://www.damoa.or.kr/main/cmf_video.php?no=2752,알베르토와 함께 알아보는 선거 A to Z 어서와~ 선거는 처음이지?,,시청자미디어재단,생활정보/대통령; 유튜브/대통령; 기타/투표; 직업/대통령; 건강/대통령; 우리들의 이야기/대통령; 교육/대통령; 기타/선거; 요리/대통령; 부모교육 및 지원정책/투표; 취미/투표; 부모교육 및 지원정책/선거; 유튜브/투표; 생활정보/투표; 취미/선거; 직업/투표; 유튜브/선거; 안전/대통령; 생활정보/선거; 건강/투표; 직업/선거; 우리들의 이야기/투표; 교육/투표; 건강/선거; 요리/투표; 우리들의 이야기/선거; 교육/선거; 요리/선거; 기타/대통령; 안전/투표; 안전/선거; 부모교육 및 지원정책/대통령; 취미/대통령
